web-scraper-order,web-scraper-start-url,container,container-href,page,page-href,nombre pièces,nombre salle bain,superficie (m2),adresse
"1752948333-1","https://sn.coinafrique.com/categorie/appartements","Location appartement 3 pièces  -  Mermoz","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-3385244","119","https://sn.coinafrique.com/categorie/appartements?page=119","3","3","127 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752948335-2","https://sn.coinafrique.com/categorie/appartements","Location Appartement 4 pièces - Liberté 6 Extension","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-liberte-6-extension-3385542","119","https://sn.coinafrique.com/categorie/appartements?page=119","150","","","Sicap Liberté, Dakar, Sénégal"
"1752948338-3","https://sn.coinafrique.com/categorie/appartements","Vente appartement 4 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-ngor-3385835","119","https://sn.coinafrique.com/categorie/appartements?page=119","4","4","214","Ngor, Dakar, Sénégal"
"1752948340-4","https://sn.coinafrique.com/categorie/appartements","Location Appartement 4 pièces - Mermoz Sacré Coeur","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3387396","119","https://sn.coinafrique.com/categorie/appartements?page=119","4","3","300","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752948343-5","https://sn.coinafrique.com/categorie/appartements","Vente Appartement 244 m² - Almadies","https://sn.coinafrique.com/annonce/appartements/vente-appartement-244-m-almadies-3387985","119","https://sn.coinafrique.com/categorie/appartements?page=119","3","3","244 m2","Ouest Foire, Dakar, Sénégal"
"1752948346-6","https://sn.coinafrique.com/categorie/appartements","Location Appartement 3 Pièces - Croisement Camberene","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-croisement-camberene-3388281","119","https://sn.coinafrique.com/categorie/appartements?page=119","2","2","1 m2","Cambérène, Dakar, Sénégal"
"1752948348-7","https://sn.coinafrique.com/categorie/appartements","Location appartement 4 pièces  - Cité Mbakiyou Faye","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-mbakiyou-faye-3337746","119","https://sn.coinafrique.com/categorie/appartements?page=119","4","2","","Mamelles, Dakar, Sénégal"
"1752948351-8","https://sn.coinafrique.com/categorie/appartements","Location appartement 4 pièces - Cité Soprim","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-soprim-3388662","119","https://sn.coinafrique.com/categorie/appartements?page=119","4","2","","Parcelle Assainies, Dakar, Sénégal"
"1752948353-9","https://sn.coinafrique.com/categorie/appartements","Location grand salon + balcon - Ouakam","https://sn.coinafrique.com/annonce/appartements/location-grand-salon-balcon-ouakam-3388774","119","https://sn.coinafrique.com/categorie/appartements?page=119","1","1","75","Ouakam, Dakar, Sénégal"
"1752948356-10","https://sn.coinafrique.com/categorie/appartements","Location appartement - Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-almadies-3390286","119","https://sn.coinafrique.com/categorie/appartements?page=119","","","","Almadies, Dakar, Sénégal"
"1752948358-11","https://sn.coinafrique.com/categorie/appartements","Location appartement 4 pièces  - Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3390289","119","https://sn.coinafrique.com/categorie/appartements?page=119","","","","Almadies, Dakar, Sénégal"
"1752948361-12","https://sn.coinafrique.com/categorie/appartements","Location Appartement 4 pièces - Hann Bel Air","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-hann-bel-air-3341841","119","https://sn.coinafrique.com/categorie/appartements?page=119","180","","","Hann Bel-Air, Dakar, Sénégal"
"1752948363-13","https://sn.coinafrique.com/categorie/appartements","Location Appartement 4 pièces - Liberté 6 Extension","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-liberte-6-extension-3391912","119","https://sn.coinafrique.com/categorie/appartements?page=119","4","3","","Sicap Liberté, Dakar, Sénégal"
"1752948366-14","https://sn.coinafrique.com/categorie/appartements","Location appartement 4 pièces - Mariste","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mariste-3391998","119","https://sn.coinafrique.com/categorie/appartements?page=119","4","2","150 m2","Hann Bel-Air, Dakar, Sénégal"
"1752948368-15","https://sn.coinafrique.com/categorie/appartements","Location appartement 4 pièces - Keur Massar","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-keur-massar-3394047","119","https://sn.coinafrique.com/categorie/appartements?page=119","3","2","150 m2","Keur Massar, Sénégal"
"1752948371-16","https://sn.coinafrique.com/categorie/appartements","Location Appartement 3 Pièces - Dakar Plateau","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-dakar-plateau-3394261","119","https://sn.coinafrique.com/categorie/appartements?page=119","3","2","150","Dakar Plateau, Dakar, Sénégal"
