web-scraper-order,web-scraper-start-url,container,container-href,page,page-href,superficie (m2),prix,adresse,image lien-src
"1752965963-1","https://sn.coinafrique.com/categorie/terrains","Vente Terrains 300m² - Sindia","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300m-sindia-2806884","119","https://sn.coinafrique.com/categorie/terrains?page=119","300","6 000 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2806884_uploaded_image1_1607020153.jpg"
"1752965965-2","https://sn.coinafrique.com/categorie/terrains","Vente terrains 225 m² - Thies","https://sn.coinafrique.com/annonce/terrains/vente-terrains-225-m-thies-2807269","119","https://sn.coinafrique.com/categorie/terrains?page=119","225","350 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5090178_uploaded_image1_1734090542.jpg"
"1752965968-3","https://sn.coinafrique.com/categorie/terrains","Vente terrains 300 m² - Saly","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300-m-saly-2807272","119","https://sn.coinafrique.com/categorie/terrains?page=119","300","25 000 000 CFA","Saly, Sénégal","https://images.coinafrique.com/thumb_5413763_uploaded_image1_1752016312.jpg"
"1752965970-4","https://sn.coinafrique.com/categorie/terrains","Vente terrain 300 m² - Mbour Saly","https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-mbour-saly-2807333","119","https://sn.coinafrique.com/categorie/terrains?page=119","300 m2","17 000 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_5247336_uploaded_image1_1742773132.jpg"
"1752965973-5","https://sn.coinafrique.com/categorie/terrains","Vente Terrains 225 m²  - Mbour","https://sn.coinafrique.com/annonce/terrains/vente-terrains-225-m-mbour-2807585","119","https://sn.coinafrique.com/categorie/terrains?page=119","225","2 500 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4478506_uploaded_image1_1701339971.jpg"
"1752965975-6","https://sn.coinafrique.com/categorie/terrains","Vente terrain   - Niacourab","https://sn.coinafrique.com/annonce/terrains/vente-terrain-niacourab-2808263","119","https://sn.coinafrique.com/categorie/terrains?page=119","225 m2","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2808263_uploaded_image1_1607077751.jpg"
"1752965978-7","https://sn.coinafrique.com/categorie/terrains","Terrain - Niacorob","https://sn.coinafrique.com/annonce/terrains/terrain-niacorob-2808269","119","https://sn.coinafrique.com/categorie/terrains?page=119","300 m2","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2808269_uploaded_image1_1607077879.jpg"
"1752965980-8","https://sn.coinafrique.com/categorie/terrains","Terrains  8000 m²  - Mbour - mbodiène","https://sn.coinafrique.com/annonce/terrains/terrains-8000-m-mbour-mbodiene-2808383","119","https://sn.coinafrique.com/categorie/terrains?page=119","8000","9 000 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2808383_uploaded_image1_1607080387.jpg"
"1752965983-9","https://sn.coinafrique.com/categorie/terrains","Terrains 150 m²  - Tivaoune peulh","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-tivaoune-peulh-2808552","119","https://sn.coinafrique.com/categorie/terrains?page=119","150","4 500 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3765584_uploaded_image1_1656636685.jpg"
"1752965985-10","https://sn.coinafrique.com/categorie/terrains","Terrains 150 m2 - Niacourab","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-niacourab-2808724","119","https://sn.coinafrique.com/categorie/terrains?page=119","150","6 600 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3150608_uploaded_image1_1622724298.jpg"
"1752965988-11","https://sn.coinafrique.com/categorie/terrains","Terrain   -Sorokhassap","https://sn.coinafrique.com/annonce/terrains/terrain-sorokhassap-2809161","119","https://sn.coinafrique.com/categorie/terrains?page=119","","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_4305404_uploaded_image1_1690126100.jpg"
"1752965990-12","https://sn.coinafrique.com/categorie/terrains","Vente Terrain 5ha - Saly","https://sn.coinafrique.com/annonce/terrains/vente-terrain-5ha-saly-2809497","119","https://sn.coinafrique.com/categorie/terrains?page=119","50000 m2","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2809497_uploaded_image1_1607105178.jpg"
"1752965993-13","https://sn.coinafrique.com/categorie/terrains","Vente Terrain 400m² - Nianing","https://sn.coinafrique.com/annonce/terrains/vente-terrain-400m-nianing-2809579","119","https://sn.coinafrique.com/categorie/terrains?page=119","400 m2","6 000 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2809579_uploaded_image1_1607107867.jpg"
