web-scraper-order,web-scraper-start-url,container,container-href,page,page-href,nombre pièces,nombre salle bain,superficie (m2),adresse
"1752947312-1","https://sn.coinafrique.com/categorie/villas","Vente villa  5 pièces - Saly","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-saly-2157236","119","https://sn.coinafrique.com/categorie/villas?page=119","5","5","1000 m2","Saly, Sénégal"
"1752947315-2","https://sn.coinafrique.com/categorie/villas","Villa  R+1 à vendre","https://sn.coinafrique.com/annonce/villas/villa-r1-a-vendre-2157513","119","https://sn.coinafrique.com/categorie/villas?page=119","5","4","750 m2","Dakar, Sénégal"
"1752947317-3","https://sn.coinafrique.com/categorie/villas","Vente Villa 6 pièces - Virage","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-virage-2157566","119","https://sn.coinafrique.com/categorie/villas?page=119","5","5","750 m2","Sicap Liberté, Dakar, Sénégal"
"1752947320-4","https://sn.coinafrique.com/categorie/villas","Vente villas 6 pièces - Thies","https://sn.coinafrique.com/annonce/villas/vente-villas-6-pieces-thies-2158009","119","https://sn.coinafrique.com/categorie/villas?page=119","6","3","","Thies, Sénégal"
"1752947322-5","https://sn.coinafrique.com/categorie/villas","Vente Villa - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2158614","119","https://sn.coinafrique.com/categorie/villas?page=119","150","","","Dakar, Sénégal"
"1752947325-6","https://sn.coinafrique.com/categorie/villas","Vente villa 192 m² - Liberte 6","https://sn.coinafrique.com/annonce/villas/vente-villa-192-m-liberte-6-2158848","119","https://sn.coinafrique.com/categorie/villas?page=119","192 m2","","","Sicap Liberté, Dakar, Sénégal"
"1752947327-7","https://sn.coinafrique.com/categorie/villas","Vente maison 140 m² - HLM Las Palmas","https://sn.coinafrique.com/annonce/villas/vente-maison-140-m-hlm-las-palmas-2158957","119","https://sn.coinafrique.com/categorie/villas?page=119","4","140 m2","","Guédiawaye, Dakar, Sénégal"
"1752947330-8","https://sn.coinafrique.com/categorie/villas","Vente villa R+1  - Ngor","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-ngor-2158992","119","https://sn.coinafrique.com/categorie/villas?page=119","1000","","","Ngor, Dakar, Sénégal"
"1752947332-9","https://sn.coinafrique.com/categorie/villas","Vente villa 300 m² - Sicap Liberté","https://sn.coinafrique.com/annonce/villas/vente-villa-300-m-sicap-liberte-2159044","119","https://sn.coinafrique.com/categorie/villas?page=119","300","","","Sicap Liberté, Dakar, Sénégal"
"1752947335-10","https://sn.coinafrique.com/categorie/villas","Vente Villa 5 pièces - Saly Niakhniakhal","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-saly-niakhniakhal-2159095","119","https://sn.coinafrique.com/categorie/villas?page=119","4","300 m2","","Thies, Sénégal"
